Wall time,Step,Value
1489605719.49203,0,2.3216328620910645
1489605719.566232,100,2.152332305908203
1489605719.642966,200,1.966660737991333
1489605719.724045,300,1.6450319290161133
1489605719.79238,400,1.446021318435669
1489605719.861486,500,0.9919716715812683
1489605719.979855,600,0.7131485939025879
1489605720.056059,700,0.866955041885376
1489605720.135185,800,0.6845356225967407
1489605720.211481,900,0.4880470037460327
1489605720.711552,1000,0.4576580226421356
1489605720.822272,1100,0.39081791043281555
1489605720.897643,1200,0.5832595825195312
1489605720.968376,1300,0.4028770327568054
1489605721.046407,1400,0.3927488923072815
1489605721.118797,1500,0.583277702331543
1489605721.189215,1600,0.39694350957870483
1489605721.305271,1700,0.3973318934440613
1489605721.388155,1800,0.25213149189949036
1489605721.456298,1900,0.31802934408187866
1489605721.980578,2000,0.496917188167572
1489605722.052796,2100,0.41527798771858215
1489605722.174615,2200,0.18187470734119415
1489605722.25152,2300,0.5603877902030945
1489605722.322498,2400,0.5488649010658264
1489605722.398212,2500,0.43558642268180847
1489605722.469118,2600,0.3672232925891876
1489605722.535564,2700,0.3477000594139099
1489605722.655292,2800,0.45446330308914185
1489605722.730078,2900,0.20631957054138184
1489605723.230173,3000,0.3647914230823517
1489605723.299968,3100,0.2676496207714081
1489605723.373962,3200,0.18950921297073364
1489605723.493639,3300,0.48533666133880615
1489605723.565454,3400,0.2718060612678528
1489605723.639167,3500,0.3149065375328064
1489605723.710896,3600,0.3471655249595642
1489605723.782191,3700,0.2552768886089325
1489605723.854724,3800,0.386517733335495
1489605723.969817,3900,0.3401491641998291
1489605724.477892,4000,0.3016538918018341
1489605724.549692,4100,0.360681414604187
1489605724.625125,4200,0.2881335914134979
1489605724.703237,4300,0.26772913336753845
1489605724.814979,4400,0.3294708728790283
1489605724.890325,4500,0.2931317090988159
1489605724.963553,4600,0.18928967416286469
1489605725.042939,4700,0.22307932376861572
1489605725.127428,4800,0.3044622838497162
1489605725.196152,4900,0.17042329907417297
1489605725.737976,5000,0.30747246742248535
1489605725.809918,5100,0.4661284387111664
1489605725.893307,5200,0.2110230028629303
1489605725.967247,5300,0.2209712713956833
1489605726.03354,5400,0.29923316836357117
1489605726.145745,5500,0.2508421540260315
1489605726.212697,5600,0.25439536571502686
1489605726.279507,5700,0.2187654972076416
1489605726.355878,5800,0.23836204409599304
1489605726.431843,5900,0.1777677834033966
1489605726.933646,6000,0.16057296097278595
1489605727.045116,6100,0.14915426075458527
1489605727.124375,6200,0.17259158194065094
1489605727.197671,6300,0.28320735692977905
1489605727.274025,6400,0.15066412091255188
1489605727.346604,6500,0.12685424089431763
1489605727.461524,6600,0.31720849871635437
1489605727.533366,6700,0.2385842204093933
1489605727.605792,6800,0.23809735476970673
1489605727.680536,6900,0.2620665729045868
1489605728.190825,7000,0.2750403881072998
1489605728.266812,7100,0.11957747489213943
1489605728.389081,7200,0.2882232666015625
1489605728.462909,7300,0.2991202771663666
1489605728.537557,7400,0.23473316431045532
1489605728.611732,7500,0.22300797700881958
1489605728.683764,7600,0.15910013020038605
1489605728.794949,7700,0.1586466133594513
1489605728.870523,7800,0.2843218743801117
1489605728.938624,7900,0.2786926329135895
1489605729.448068,8000,0.3088119626045227
1489605729.520412,8100,0.2019503265619278
1489605729.595969,8200,0.23699882626533508
1489605729.708928,8300,0.12067988514900208
1489605729.779985,8400,0.24017228186130524
1489605729.854844,8500,0.15433987975120544
1489605729.926624,8600,0.21465276181697845
1489605729.99813,8700,0.2695285677909851
1489605730.113687,8800,0.2323802262544632
1489605730.186079,8900,0.20090866088867188
1489605730.689991,9000,0.15194427967071533
1489605730.761255,9100,0.25906407833099365
1489605730.831971,9200,0.25022152066230774
1489605730.903423,9300,0.2239605337381363
1489605731.021279,9400,0.3059214651584625
1489605731.097819,9500,0.16909489035606384
1489605731.166929,9600,0.06190396845340729
1489605731.244908,9700,0.1661841720342636
1489605731.317619,9800,0.1948983073234558
1489605731.42679,9900,0.07625098526477814
1489605731.496813,9999,0.09741923213005066
